Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2015-05-12,101.98,102.69,101.6,102.37,2338220.0,0.0,1.0,47.92996196429971,48.26365752219981,47.751364341761615,48.113259524273005,4676440.0
2015-05-11,102.42,103.22,102.09,102.79,2668832.0,0.0,1.0,48.13675921144907,48.51275420626608,47.981661276087046,48.31065689655194,5337664.0
2015-05-08,102.29,103.3,102.29,102.44,2767371.0,0.0,1.0,48.075660024791304,48.55035370574779,48.075660024791304,48.146159086319486,5534742.0
2015-05-07,100.45,101.59,100.015,101.45,2763164.0,0.0,1.0,47.210871536712155,47.74666440432641,47.0064242582804,47.68086528023343,5526328.0
2015-05-06,100.27,101.0,99.68,100.22,2697950.0,0.0,1.0,47.12627266287832,47.46936809564885,46.84897635420077,47.10277297570226,5395900.0
2015-05-05,100.43,100.87,100.26,100.42,2552252.0,0.0,1.0,47.20147166184173,47.40826890899109,47.12157272544311,47.19677172440651,5104504.0
2015-05-04,101.0,101.2,100.4845,100.83,2278890.0,0.0,1.0,47.46936809564885,47.56336684435311,47.227086320863634,47.38946915925023,4557780.0
2015-05-01,99.88,100.82,99.41,100.78,3341749.0,0.0,1.0,46.942975102905024,47.38476922181502,46.722078043450026,47.36596947207417,6683498.0
2015-04-30,99.75,100.51,98.46,98.84,3248480.0,0.0,1.0,46.88187591624726,47.23907116132343,46.27558398710481,46.4541816096429,6496960.0
2015-04-29,99.53,100.49,99.26,100.17,2695914.0,0.0,1.0,46.77847729267258,47.229671286453,46.65157898192184,47.079273288526196,5391828.0
2015-04-28,100.8,100.8,99.1903,99.86,3015812.0,0.0,1.0,47.375369346944595,47.375369346944595,46.6188204179984,46.9335752280346,6031624.0
2015-04-27,101.27,102.0,100.77,100.94,2565425.0,0.0,1.0,47.59626640639959,47.939361839170125,47.36126953463896,47.44116847103758,5130850.0
2015-04-24,100.46,101.28,100.21,100.95,2166951.0,0.0,1.0,47.21557147414736,47.60096634383481,47.09807303826704,47.44586840847279,4333902.0
2015-04-23,99.78,101.6,99.45,101.11,2332843.0,0.0,1.0,46.8959757285529,47.751364341761615,46.740877793190876,47.52106740743619,4665686.0
2015-04-22,100.3,100.39,99.29,100.15,1952895.0,0.0,1.0,47.14037247518396,47.18267191210087,46.665678794227475,47.06987341365577,3905790.0
2015-04-21,100.76,100.85,99.72,100.29,2562651.0,0.0,1.0,47.35656959720375,47.39886903412066,46.867776103941615,47.135672537748746,5125302.0
2015-04-20,99.08,100.34,99.02,99.99,3104286.0,0.0,1.0,46.566980108088,47.15917222492481,46.53878048347672,46.99467441469236,6208572.0
2015-04-17,99.17,99.37,98.14,98.55,3024566.0,0.0,1.0,46.60927954500492,46.703278293709175,46.12518598917801,46.31788342402172,6049132.0
2015-04-16,99.49,100.17,99.4,99.9,2051969.0,0.0,1.0,46.759677542931726,47.079273288526196,46.71737810601481,46.95237497777545,4103938.0
2015-04-15,100.63,100.73,99.73,99.83,2858142.0,0.0,1.0,47.29547041054598,47.34246978489811,46.872476041376835,46.91947541572896,5716284.0
2015-04-14,99.06,99.81,98.7,99.53,2385422.0,0.0,1.0,46.55758023321758,46.910075540858536,46.38838248554992,46.77847729267258,4770844.0
2015-04-13,99.97,100.06,99.06,99.27,3656866.0,0.0,1.0,46.98527453982194,47.02757397673886,46.55758023321758,46.65627891935704,7313732.0
2015-04-10,100.92,101.08,99.93,99.97,2959020.0,0.0,1.0,47.43176859616715,47.506967595130554,46.966474790081094,46.98527453982194,5918040.0
2015-04-09,101.0,101.69,100.6,100.72,2650094.0,0.0,1.0,47.46936809564885,47.79366377867853,47.281370598240336,47.337769847462894,5300188.0
2015-04-08,100.0,100.97,99.72,100.84,3261184.0,0.0,1.0,46.999374352127575,47.455268283343216,46.867776103941615,47.39416909668545,6522368.0
